Timestamp,Symbol,Price,P/B,PE(TTM),PE(Fwd),Growth,Static PEG,Dynamic PEG,Source
2026-06-01 23:25,000660.KS,2363000.0 KRW,9.94,22.83,6.18,625.33%,3.3,0.037,Naver (单季同比)
2026-06-01 23:25,005930.KS,349000.0 KRW,4.85,28.21,6.32,1341.34%,0.18,0.021,Naver (单季同比)
2026-06-01 23:25,MU,1035.5 USD,16.12,48.91,9.85,762.68%,0.33,0.064,Yahoo (5季同比)
2026-06-01 23:25,NVDA,224.36 USD,34.67,34.41,17.73,211.69%,0.65,0.163,Yahoo (5季同比)
2026-06-01 23:25,LITE,905.0 USD,76.33,160.46,50.0,N/A,0.63,N/A,N/A
2026-06-08 23:10,000660.KS,1911000.0 KRW,8.04,18.46,5.0,625.33%,2.93,0.03,Naver (单季同比)
2026-06-08 23:10,005930.KS,295500.0 KRW,4.11,23.88,5.21,1341.34%,0.19,0.018,Naver (单季同比)
2026-06-08 23:10,MU,949.28 USD,14.78,44.84,8.77,762.68%,0.3,0.059,Yahoo (5季同比)
2026-06-08 23:10,NVDA,208.64 USD,32.24,32.0,16.45,211.69%,0.63,0.151,Yahoo (5季同比)
2026-06-08 23:10,AVGO,396.6 USD,21.47,65.88,20.5,86.67%,0.71,0.76,Yahoo (5季同比)
2026-06-08 23:10,COHR,401.93 USD,7.36,190.49,49.65,N/A,0.92,N/A,N/A
2026-06-12 23:14,000660.KS,2150000.0 KRW,9.04,20.77,5.29,633.58%,3.13,0.033,Naver (单季同比)
2026-06-12 23:14,005930.KS,322500.0 KRW,4.48,26.07,5.61,1389.77%,0.36,0.019,Naver (单季同比)
2026-06-12 23:14,MU,981.61 USD,15.28,46.28,8.75,762.68%,0.34,0.061,Yahoo (5季同比)
2026-06-12 23:14,NVDA,205.19 USD,25.43,31.37,16.12,211.69%,0.63,0.148,Yahoo (5季同比)
2026-06-12 23:14,AVGO,382.07 USD,20.73,63.57,19.74,86.67%,0.7,0.734,Yahoo (5季同比)
2026-06-12 23:14,COHR,385.03 USD,7.05,182.48,47.09,N/A,0.92,N/A,N/A
2026-06-15 23:27,000660.KS,2288000.0 KRW,9.62,22.1,5.57,633.58%,3.13,0.035,Naver (单季同比)
2026-06-15 23:27,005930.KS,337000.0 KRW,4.69,27.24,5.87,1389.77%,0.38,0.02,Naver (单季同比)
2026-06-15 23:27,MU,1087.99 USD,16.94,51.32,9.7,762.68%,0.34,0.067,Yahoo (5季同比)
2026-06-15 23:27,NVDA,212.45 USD,26.33,32.53,16.69,211.69%,0.63,0.154,Yahoo (5季同比)
2026-06-15 23:27,AVGO,393.94 USD,21.37,65.66,20.36,86.67%,0.69,0.758,Yahoo (5季同比)
2026-06-15 23:27,COHR,413.84 USD,7.58,195.21,50.61,N/A,0.92,N/A,N/A
