Timestamp,Symbol,Price,P/B,PE(TTM),PE(Fwd),Growth,Static PEG,Dynamic PEG,Source
2026-06-01 23:25,000660.KS,2363000.0 KRW,9.94,22.83,6.18,625.33%,3.3,0.037,Naver (单季同比)
2026-06-01 23:25,005930.KS,349000.0 KRW,4.85,28.21,6.32,1341.34%,0.18,0.021,Naver (单季同比)
2026-06-01 23:25,MU,1035.5 USD,16.12,48.91,9.85,762.68%,0.33,0.064,Yahoo (5季同比)
2026-06-01 23:25,NVDA,224.36 USD,34.67,34.41,17.73,211.69%,0.65,0.163,Yahoo (5季同比)
2026-06-01 23:25,LITE,905.0 USD,76.33,160.46,50.0,N/A,0.63,N/A,N/A
2026-07-06 22:53,000660.KS,2343000.0 KRW,9.85,22.63,5.28,656.28%,3.32,0.034,Naver (单季同比)
2026-07-06 22:53,005930.KS,318000.0 KRW,4.42,25.7,5.0,1349.52%,0.23,0.019,Naver (单季同比)
2026-07-06 22:53,MU,984.75 USD,15.33,22.28,6.58,1381.07%,0.14,0.016,Yahoo (5季同比)
2026-07-06 22:53,NVDA,195.55 USD,24.23,29.95,15.32,211.69%,0.6,0.141,Yahoo (5季同比)
2026-07-06 22:53,MRVL,249.27 USD,11.98,85.37,40.35,-80.95%,1.39,N/A,Yahoo (5季同比)
2026-07-06 22:53,COHR,335.7 USD,6.15,159.86,40.88,N/A,0.92,N/A,N/A
2026-08-03 22:45	000660.KS	1567000.0 KRW	6.76	15.14	3.49	684.01%	0.27	0.022	Naver (单季同比)
2026-08-03 22:45	005930.KS	239500.0 KRW	3.33	19.36	3.61	1349.52%	0.18	0.014	Naver (单季同比)
2026-08-03 22:45	MU	829.5 USD	9.3	18.73	5.33	1381.07%	0.12	0.014	Yahoo (5季同比)
2026-08-03 22:45	NVDA	206.64 USD	25.61	31.69	16.03	211.69%	0.55	0.15	Yahoo (5季同比)
2026-08-03 22:45	MRVL	193.775 USD	9.31	66.59	31.05	-80.95%	1.06	N/A	Yahoo (5季同比)
2026-08-03 22:45	COHR	288.14 USD	5.28	137.21	34.76	N/A	0.92	N/A	N/A
